(1629633295.890000) can0  5A2#A470DD3FEC51B8BDAE47E13F
(1629633295.900000) can0  5C2#8FC2F53DCDCCCCBD333373BF
(1629633295.930000) can0  5A2#8FC2D53FAD7A3BD713DEA3F
(1629633295.940000) can0  5C2#AE47E13DCDCCCCBDD7A370BF
(1629633295.970000) can0  5A2#C3F5E83FAD723BD6666E63F
(1629633295.990000) can0  5C2#CDCCCC3DEC51B8BD8FC275BF
(1629633295.103000) can0  5C2#CDCCCC3DEC51B8BDEC5178BF
(1629633295.106000) can0  5A2#D7A3D03F7B142EBE52B8DE3F
(1629633295.108000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.111000) can0  5A2#3DAD73F8FC2F5BD9A99D93F
(1629633295.112000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.115000) can0  5A2#3333D33F295C8FBDB81EE53F
(1629633295.117000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.120000) can0  5A2#85EBD13FEC51B8BDC3F5E83F
(1629633295.121000) can0  5C2#AE47E13DEC51B8BD333373BF
(1629633295.125000) can0  5A2#1F85CB3FCDCC4CBDA470DD3F
(1629633295.126000) can0  5C2#AE47E13DEC51B8BD7B146EBF
(1629633295.129000) can0  5A2#CDCCCC3FCDCCCCBD3DAD73F
(1629633295.130000) can0  5C2#AE47E13DCDCCCCBD333373BF
(1629633295.133000) can0  5A2#14AEC73F295CFBEAE47E13F
(1629633295.135000) can0  5C2#CDCCCC3DEC51B8BD333373BF
(1629633295.136000) can0  220#BA4CA691
(1629633295.138000) can0  5A2#C3F5C83FAD723BE14AEE73F
(1629633295.139000) can0  5C2#CDCCCC3DEC51B8BDEC5178BF
(1629633295.142000) can0  5A2#D7A3D03FEC51B8BD5C8FE23F
(1629633295.143000) can0  5C2#AE47E13DEC51B8BD48E17ABF
(1629633295.147000) can0  5A2#C3F5C83FAD723BDA470DD3F
(1629633295.148000) can0  5C2#AE47E13DEC51B8BDA4707DBF
(1629633295.151000) can0  5A2#14AEC73FAD7A3BDF628DC3F
(1629633295.152000) can0  5C2#AE47E13DEC51B8BDEC5178BF
(1629633295.156000) can0  5A2#3333D33F7B142EBE52B8DE3F
(1629633295.157000) can0  5C2#AE47E13DEC51B8BD8FC275BF
(1629633295.160000) can0  5A2#8FC2D53F295CFBE5C8FE23F
(1629633295.161000) can0  5C2#8FC2F53DCDCCCCBDEC5178BF
(1629633295.165000) can0  5A2#B81EC53F5C8F42BE52B8DE3F
(1629633295.166000) can0  5C2#AE47E13DEC51B8BD7B146EBF
(1629633295.169000) can0  5A2#00E03F295C8FBDAE47E13F
(1629633295.170000) can0  682#FB7C2AC3
(1629633295.170000) can0  562#FB7C2AC3
(1629633295.170000) can0  5C2#AE47E13DEC51B8BDD7A370BF
(1629633295.172000) can0  642#756A1342
(1629633295.173000) can0  522#13738442
(1629633295.174000) can0  5A2#48E1DA3F00006666E63F
(1629633295.175000) can0  5C2#AE47E13DCDCCCCBD8FC275BF
(1629633295.178000) can0  5A2#5C8FC23F7B142EBE14AEE73F
(1629633295.179000) can0  5C2#AE47E13DEC51B8BDD7A370BF
(1629633295.182000) can0  5A2#5C8FE23FAD723BD5C8FE23F
