(1629633295.890000) can0  5A2#00ADFFF700B0
(1629633295.900000) can0  5C2#000CFFF6FFA1
(1629633295.900000) can0  482#289C
(1629633295.910000) can0  442#03
(1629633295.930000) can0  462#01010C140902
(1629633295.930000) can0  5A2#00A7FFF800B7
(1629633295.940000) can0  5C2#000BFFF6FFA2
(1629633295.950000) can0  482#28D0
(1629633295.970000) can0  5A2#00B6FFFC00B4
(1629633295.990000) can0  5C2#000AFFF7FFA0
(1629633295.101000) can0  482#28F7
(1629633295.102000) can0  442#02
(1629633295.103000) can0  462#01010BC308A3
(1629633295.103000) can0  5C2#000AFFF7FF9F
(1629633295.106000) can0  482#2911
(1629633295.106000) can0  5A2#00A3FFEF00AE
(1629633295.108000) can0  5C2#000BFFF7FF9F
(1629633295.111000) can0  482#28D0
(1629633295.111000) can0  5A2#00A8FFF400AA
(1629633295.112000) can0  442#03
(1629633295.112000) can0  5C2#000BFFF7FF9F
(1629633295.112000) can0  462#01010BEC08BE
(1629633295.115000) can0  5A2#00A5FFF900B3
(1629633295.116000) can0  482#28B6
(1629633295.117000) can0  5C2#000BFFF7FF9F
(1629633295.120000) can0  5A2#00A4FFF700B6
(1629633295.121000) can0  482#28EA
(1629633295.121000) can0  5C2#000BFFF7FFA1
(1629633295.122000) can0  442#02
(1629633295.123000) can0  462#01010BF908CB
(1629633295.125000) can0  5A2#009FFFFB00AD
(1629633295.126000) can0  5C2#000BFFF7FFA3
(1629633295.126000) can0  482#28DD
(1629633295.129000) can0  5A2#00A0FFF600A8
(1629633295.130000) can0  5C2#000BFFF6FFA1
(1629633295.131000) can0  482#28D0
(1629633295.132000) can0  442#03
(1629633295.133000) can0  462#01010C2F090F
(1629633295.133000) can0  5A2#009CFFF200B0
(1629633295.135000) can0  5C2#000AFFF7FFA1
(1629633295.136000) can0  482#28D0
(1629633295.138000) can0  5A2#009DFFF000B5
(1629633295.139000) can0  5C2#000AFFF7FF9F
(1629633295.141000) can0  482#28EA
(1629633295.142000) can0  442#02
(1629633295.142000) can0  5A2#00A3FFF700B1
(1629633295.143000) can0  462#01010C810953
(1629633295.143000) can0  5C2#000BFFF7FF9E
(1629633295.146000) can0  482#28DD
(1629633295.147000) can0  5A2#009DFFFC00AD
(1629633295.148000) can0  5C2#000BFFF7FF9D
(1629633295.151000) can0  482#28A9
(1629633295.151000) can0  5A2#009CFFF800AC
(1629633295.152000) can0  442#02
(1629633295.152000) can0  5C2#000BFFF7FF9F
(1629633295.153000) can0  462#01010CC50989
(1629633295.156000) can0  482#28D0
(1629633295.156000) can0  5A2#00A5FFEF00AE
(1629633295.157000) can0  5C2#000BFFF7FFA0
(1629633295.160000) can0  5A2#00A7FFF200B1
(1629633295.161000) can0  482#28EA
(1629633295.161000) can0  5C2#000CFFF6FF9F
(1629633295.161000) can0  442#02
(1629633295.163000) can0  462#01010D0809BF
(1629633295.165000) can0  5A2#009AFFED00AE
(1629633295.166000) can0  482#2904
(1629633295.166000) can0  5C2#000BFFF7FFA3
(1629633295.169000) can0  5A2#00AFFFF900B0
(1629633295.170000) can0  682#00000000
(1629633295.170000) can0  562#00000000
(1629633295.170000) can0  5C2#000BFFF7FFA2
(1629633295.171000) can0  482#28B6
(1629633295.172000) can0  442#02
(1629633295.172000) can0  642#00B29B46
(1629633295.173000) can0  462#01010D310A03
(1629633295.173000) can0  522#006CB546
(1629633295.174000) can0  5A2#00AB000000B4
(1629633295.175000) can0  5C2#000BFFF6FFA0
(1629633295.175000) can0  482#28EA
(1629633295.178000) can0  5A2#0098FFEF00B5
(1629633295.179000) can0  5C2#000BFFF7FFA2
(1629633295.181000) can0  482#28EA
(1629633295.182000) can0  442#02
(1629633295.182000) can0  5A2#00B1FFFC00B1
(1629633295.183000) can0  462#01010D830A47
(1629633295.184000) can0  5C2#000BFFF6FF9E
(1629633295.186000) can0  482#2904
(1629633295.187000) can0  5A2#00A5FFF700AD
(1629633295.188000) can0  5C2#000CFFF7FF9E
(1629633295.191000) can0  482#28C3
(1629633295.191000) can0  5A2#00A2FFF700AD
(1629633295.192000) can0  442#03
(1629633295.192000) can0  462#01010DAB0A55
(1629633295.193000) can0  5C2#000BFFF7FFA1
(1629633295.196000) can0  482#28D0
(1629633295.196000) can0  5A2#008EFFF200AF
(1629633295.197000) can0  5C2#000BFFF7FFA1
(1629633295.200000) can0  5A2#009AFFF000A9
(1629633295.201000) can0  482#292B
(1629633295.201000) can0  442#02
(1629633295.202000) can0  5C2#000BFFF7FFA1
(1629633295.203000) can0  462#01010DC60A70
(1629633295.205000) can0  5A2#008EFFFF00AC
(1629633295.206000) can0  482#28DD
(1629633295.206000) can0  5C2#000BFFF6FFA0
(1629633295.209000) can0  5A2#0095FFFE00AE
(1629633295.211000) can0  482#2904
(1629633295.211000) can0  5C2#000BFFF7FFA1
(1629633295.212000) can0  442#02
(1629633295.213000) can0  462#01010DB90A55
(1629633295.214000) can0  5A2#0094000500B4
(1629633295.215000) can0  5C2#000BFFF7FFA1
(1629633295.216000) can0  482#28F7
(1629633295.218000) can0  5A2#00AE000400B4
(1629633295.220000) can0  5C2#000BFFF7FFA0
(1629633295.221000) can0  482#28EA
(1629633295.222000) can0  442#02
(1629633295.222000) can0  462#01010DC60A70
(1629633295.223000) can0  5A2#0098FFF700B3
(1629633295.224000) can0  5C2#000BFFF7FF9F
(1629633295.226000) can0  482#28D0
(1629633295.227000) can0  5A2#00A5FFF100AE
(1629633295.228000) can0  5C2#000BFFF7FFA0
(1629633295.231000) can0  482#28D0
(1629633295.232000) can0  5A2#00A8FFF200B1
(1629633295.232000) can0  442#02
(1629633295.233000) can0  462#01010DD40A70
(1629633295.233000) can0  5C2#000BFFF7FF9F
(1629633295.236000) can0  482#289C
(1629633295.236000) can0  5A2#00A2FFF600AC
(1629633295.237000) can0  5C2#000BFFF6FF9F
(1629633295.241000) can0  482#28DD
(1629633295.241000) can0  5A2#0095FFF700B1
(1629633295.241000) can0  442#02
(1629633295.242000) can0  5C2#000BFFF7FFA1
(1629633295.243000) can0  462#01010DC60A7D
(1629633295.245000) can0  5A2#0098000100B4
(1629633295.246000) can0  482#28B6
(1629633295.246000) can0  5C2#000BFFF7FFA0
(1629633295.250000) can0  5A2#009EFFF200B6
(1629633295.251000) can0  482#28C3
(1629633295.251000) can0  5C2#000BFFF6FF9F
(1629633295.252000) can0  442#03
(1629633295.253000) can0  462#01010DC60A7D
(1629633295.254000) can0  5A2#00B1FFF900B7
(1629633295.256000) can0  5C2#000BFFF7FFA0
(1629633295.256000) can0  482#28D0
(1629633295.259000) can0  5A2#0094FFFC00AC
(1629633295.260000) can0  5C2#000BFFF7FF9F
(1629633295.261000) can0  482#28EA
(1629633295.262000) can0  442#02
(1629633295.262000) can0  462#01010DE10A8B
(1629633295.263000) can0  5A2#0096FFF200A9
(1629633295.264000) can0  5C2#000BFFF7FFA0
(1629633295.266000) can0  482#28DD
(1629633295.267000) can0  5A2#00A2FFF600B2
(1629633295.269000) can0  5C2#000BFFF7FF9F
(1629633295.270000) can0  682#00000000
(1629633295.270000) can0  562#00000000
(1629633295.271000) can0  482#28A9
(1629633295.272000) can0  642#00AC9B46
(1629633295.272000) can0  442#02
(1629633295.272000) can0  5A2#009DFFFC00B3
(1629633295.273000) can0  462#01010DE10A70
(1629633295.273000) can0  522#0064B546
(1629633295.273000) can0  5C2#000BFFF7FFA0
(1629633295.276000) can0  482#28DD
(1629633295.276000) can0  5A2#00A2000700B0
(1629633295.278000) can0  5C2#000BFFF7FFA0
(1629633295.281000) can0  482#28EA
(1629633295.281000) can0  5A2#0098FFFA00A9
(1629633295.281000) can0  442#02
(1629633295.282000) can0  5C2#000BFFF7FFA0
(1629633295.283000) can0  462#01010DD40A7D
(1629633295.286000) can0  482#28F7
(1629633295.286000) can0  5A2#00A5FFF600B9
(1629633295.287000) can0  5C2#000BFFF6FFA0
(1629633295.290000) can0  5A2#009DFFF800B7
(1629633295.291000) can0  482#2904
(1629633295.291000) can0  5C2#000BFFF7FFA1
(1629633295.292000) can0  442#03
(1629633295.293000) can0  462#01010DE10A7D
(1629633295.294000) can0  5A2#00A2FFF600B1
(1629633295.296000) can0  482#28D0
(1629633295.296000) can0  5C2#000BFFF7FFA0
(1629633295.299000) can0  5A2#00B1FFFB00B6
(1629633295.300000) can0  5C2#000BFFF6FF9F
(1629633295.301000) can0  482#2904
(1629633295.302000) can0  442#02
(1629633295.302000) can0  462#01010DD40A7D
(1629633295.303000) can0  5A2#00A5FFF000B4
(1629633295.305000) can0  5C2#000BFFF7FFA1
(1629633295.306000) can0  482#28B6
(1629633295.308000) can0  5A2#009AFFF500AE
(1629633295.309000) can0  5C2#000BFFF7FFA1
(1629633295.311000) can0  482#2904
(1629633295.311000) can0  442#02
(1629633295.312000) can0  5A2#00A8FFF000B1
(1629633295.313000) can0  462#01010DE10A8B
(1629633295.313000) can0  5C2#000BFFF7FFA0
(1629633295.316000) can0  482#28A9
(1629633295.317000) can0  5A2#00BCFFEF00AA
(1629633295.318000) can0  5C2#000BFFF6FFA1
(1629633295.321000) can0  482#28B6
(1629633295.321000) can0  5A2#009AFFE700AF
(1629633295.322000) can0  442#02
(1629633295.322000) can0  5C2#000BFFF6FFA1
(1629633295.323000) can0  462#01010DFD0A8B
(1629633295.326000) can0  482#28DD
(1629633295.326000) can0  5A2#0098FFE600B1
(1629633295.327000) can0  5C2#000BFFF6FFA0
(1629633295.330000) can0  5A2#009AFFF200B2
(1629633295.331000) can0  482#28D0
(1629633295.331000) can0  5C2#000BFFF6FF9E
(1629633295.332000) can0  442#02
(1629633295.332000) can0  462#01010DE10A7D
(1629633295.335000) can0  5A2#00A0FFFE00B7
(1629633295.336000) can0  482#2904
(1629633295.336000) can0  5C2#000BFFF6FF9E
(1629633295.339000) can0  5A2#00A5FFF800B2
(1629633295.340000) can0  5C2#000BFFF6FF9E
(1629633295.340000) can0  482#28D0
(1629633295.342000) can0  442#02
(1629633295.342000) can0  462#01010DEF0A8B
(1629633295.344000) can0  5A2#009BFFEE00AF
(1629633295.345000) can0  5C2#000CFFF7FF9F
(1629633295.346000) can0  482#28C3
(1629633295.348000) can0  5A2#00B4FFEF00AB
(1629633295.349000) can0  5C2#000BFFF7FFA0
(1629633295.351000) can0  482#28D0
(1629633295.352000) can0  442#02
(1629633295.353000) can0  5A2#00A1FFF400AE
(1629633295.353000) can0  462#01010DFD0A8B
(1629633295.354000) can0  5C2#000BFFF8FFA1
(1629633295.356000) can0  482#28EA
(1629633295.357000) can0  5A2#00A8FFFC00B1
(1629633295.358000) can0  5C2#000BFFF7FFA1
(1629633295.361000) can0  482#28EA
(1629633295.361000) can0  5A2#009AFFEC00B1
(1629633295.362000) can0  442#03
(1629633295.363000) can0  462#01010DFD0A8B
(1629633295.363000) can0  5C2#000BFFF6FFA1
(1629633295.366000) can0  482#28D0
(1629633295.366000) can0  5A2#00AFFFEF00B7
(1629633295.367000) can0  5C2#000BFFF6FFA0
(1629633295.370000) can0  562#00000000
(1629633295.370000) can0  682#00000000
(1629633295.370000) can0  5A2#00A2FFE600AE
(1629633295.371000) can0  482#28D0
(1629633295.372000) can0  642#00B69B46
(1629633295.372000) can0  442#02
(1629633295.372000) can0  5C2#000BFFF6FF9F
(1629633295.372000) can0  462#01010DE10A8B
(1629633295.373000) can0  522#0070B546
(1629633295.375000) can0  5A2#00ABFFF900B1
(1629633295.377000) can0  482#28EA
(1629633295.377000) can0  5C2#000BFFF6FF9E
(1629633295.379000) can0  5A2#0098000200B4
(1629633295.381000) can0  482#2904
(1629633295.381000) can0  5C2#000BFFF6FF9D
(1629633295.382000) can0  442#03
(1629633295.383000) can0  462#01010DFD0A8B
(1629633295.384000) can0  5A2#0097FFFB00AF
(1629633295.385000) can0  5C2#000BFFF7FFA0
(1629633295.386000) can0  482#28B6
(1629633295.388000) can0  5A2#00B2000500B2
(1629633295.390000) can0  5C2#000BFFF7FFA0
(1629633295.391000) can0  482#289C
(1629633295.391000) can0  442#03
(1629633295.393000) can0  462#01010DEF0A98
(1629633295.393000) can0  5A2#00A2FFFB00A8
(1629633295.394000) can0  5C2#000BFFF8FFA1
(1629633295.396000) can0  482#28C3
(1629633295.397000) can0  5A2#00AAFFF400B0
(1629633295.399000) can0  5C2#000BFFF7FFA0
(1629633295.401000) can0  482#28A9
(1629633295.402000) can0  442#02
(1629633295.402000) can0  5A2#0099FFF100B0
(1629633295.403000) can0  462#01010E0A0A98
(1629633295.403000) can0  5C2#000BFFF7FFA2
(1629633295.406000) can0  482#28D0
(1629633295.407000) can0  5A2#00ACFFF300AF
(1629633295.407000) can0  5C2#000BFFF6FFA2
(1629633295.411000) can0  482#2911
(1629633295.411000) can0  5A2#009CFFEF00A7
(1629633295.412000) can0  442#03
(1629633295.412000) can0  5C2#000CFFF6FFA0
(1629633295.412000) can0  462#01010DFD0A98
(1629633295.415000) can0  5A2#009DFFF400AB
(1629633295.416000) can0  482#28A9
(1629633295.418000) can0  5C2#000BFFF6FF9E
(1629633295.420000) can0  5A2#00A9FFF500AE
(1629633295.421000) can0  482#28B6
(1629633295.421000) can0  5C2#000BFFF7FF9E
(1629633295.421000) can0  442#03
(1629633295.423000) can0  462#01010DFD0A8B
(1629633295.424000) can0  5A2#008FFFF500A8
(1629633295.425000) can0  5C2#000BFFF7FF9F
(1629633295.426000) can0  482#288F
(1629633295.429000) can0  5A2#0097FFFE00B0
(1629633295.430000) can0  5C2#000BFFF7FF9F
(1629633295.431000) can0  482#2904
(1629633295.433000) can0  5A2#00ADFFF800B2
(1629633295.434000) can0  5C2#000AFFF8FFA0
(1629633295.436000) can0  482#28DD
(1629633295.438000) can0  5A2#00A0FFF200B2
(1629633295.444000) can0  5C2#000BFFF7FFA1
(1629633295.444000) can0  482#28D0
(1629633295.444000) can0  5A2#00A3FFEB00AB
(1629633295.445000) can0  5C2#000BFFF6FFA1
(1629633295.446000) can0  482#28B6
(1629633295.447000) can0  5A2#0091FFF200AE
(1629633295.449000) can0  5C2#000CFFF6FFA1
(1629633295.451000) can0  482#289C
(1629633295.451000) can0  5A2#0093FFF200A7
(1629633295.452000) can0  442#02
(1629633295.452000) can0  5C2#000CFFF6FFA1
(1629633295.452000) can0  462#01010DEF0A8B
(1629633295.455000) can0  5A2#00A3FFF500B3
(1629633295.456000) can0  482#289C
(1629633295.457000) can0  5C2#000CFFF6FF9F
(1629633295.460000) can0  5A2#00ABFFF700BA
(1629633295.461000) can0  482#28DD
(1629633295.463000) can0  5C2#000BFFF6FFA0
(1629633295.463000) can0  442#02
(1629633295.463000) can0  462#01010DE10A8B
(1629633295.464000) can0  5A2#009FFFFC00B4
(1629633295.466000) can0  482#28B6
(1629633295.466000) can0  5C2#000BFFF7FFA0
(1629633295.469000) can0  5A2#00ABFFFB00BD
(1629633295.469000) can0  682#00000000
(1629633295.470000) can0  562#00000000
(1629633295.470000) can0  5C2#000BFFF7FF9E
(1629633295.471000) can0  482#2904
(1629633295.471000) can0  642#00AE9B46
(1629633295.472000) can0  442#02
(1629633295.472000) can0  522#0060B546
(1629633295.473000) can0  462#01010E0A0AB4
(1629633295.473000) can0  5A2#00A8FFF800B6
(1629633295.475000) can0  5C2#000BFFF7FF9D
(1629633295.476000) can0  482#28DD
(1629633295.478000) can0  5A2#00A5000000B3
(1629633295.479000) can0  5C2#000BFFF7FFA0
(1629633295.481000) can0  482#28DD
(1629633295.482000) can0  442#03
(1629633295.482000) can0  5A2#00A3FFF800AF
(1629633295.482000) can0  462#01010E250AC1
(1629633295.483000) can0  5C2#000BFFF6FFA1
(1629633295.486000) can0  482#28D0
(1629633295.487000) can0  5A2#00A1FFE900AE
(1629633295.488000) can0  5C2#000CFFF6FFA1
(1629633295.491000) can0  482#28D0
(1629633295.491000) can0  5A2#0094FFEE00AC
(1629633295.492000) can0  442#02
(1629633295.492000) can0  5C2#000BFFF6FFA1
(1629633295.493000) can0  462#01010E330ACF
(1629633295.496000) can0  482#28DD
(1629633295.496000) can0  5A2#00A1FFFE00AD
(1629633295.497000) can0  5C2#000CFFF6FFA0
(1629633295.500000) can0  5A2#009AFFF500B0
(1629633295.501000) can0  482#28EA
(1629633295.501000) can0  5C2#000BFFF7FFA1
(1629633295.502000) can0  442#02
(1629633295.503000) can0  462#01010E400ACF
(1629633295.505000) can0  5A2#009AFFF800AE
(1629633295.506000) can0  482#28EA
(1629633295.506000) can0  5C2#000BFFF7FF9E
(1629633295.509000) can0  5A2#009DFFF400B2
(1629633295.510000) can0  5C2#000BFFF7FF9F
(1629633295.510000) can0  482#28D0
(1629633295.512000) can0  442#02
(1629633295.513000) can0  462#01010E4E0ACF
(1629633295.514000) can0  5A2#00B2FFF200B0
(1629633295.515000) can0  5C2#000BFFF7FFA0
(1629633295.516000) can0  482#28C3
(1629633295.520000) can0  5A2#00A9FFF200AE
(1629633295.521000) can0  482#28D0
(1629633295.522000) can0  442#02
(1629633295.522000) can0  462#01010E4E0ACF
(1629633295.523000) can0  5A2#0090FFF000AB
(1629633295.524000) can0  5C2#000BFFF6FF9F
(1629633295.526000) can0  482#28B6
(1629633295.527000) can0  5A2#009CFFFB00AE
(1629633295.528000) can0  5C2#000BFFF6FFA1
(1629633295.531000) can0  482#28EA
(1629633295.532000) can0  5A2#009FFFF700B2
(1629633295.532000) can0  442#02
(1629633295.533000) can0  462#01010E4E0ADC
(1629633295.533000) can0  5C2#000CFFF6FFA1
(1629633295.536000) can0  482#28D0
(1629633295.536000) can0  5A2#009EFFFB00B0
(1629633295.537000) can0  5C2#000BFFF7FFA2
(1629633295.540000) can0  5A2#0091FFFB00AE
(1629633295.541000) can0  482#2904
(1629633295.542000) can0  442#02
(1629633295.542000) can0  5C2#000BFFF7FFA1
(1629633295.543000) can0  462#01010E400AEA
(1629633295.545000) can0  5A2#00AFFFFF00B7
(1629633295.546000) can0  482#28EA
(1629633295.546000) can0  5C2#000BFFF7FF9E
(1629633295.549000) can0  5A2#009FFFF800B8
(1629633295.551000) can0  482#28D0
