(1629633295.136000) can0  220#0BA40CA60901
(1629633295.333000) can0  240#06BA0000
(1629633295.333000) can0  200#8BCE8821003A6087
(1629633295.398000) can0  220#0BA30CA60901
(1629633295.595000) can0  200#8BCF8823003A6189
(1629633295.596000) can0  240#06B80000
(1629633295.661000) can0  220#0BA30CA60901
(1629633295.858000) can0  200#8BD38825003A629D
(1629633295.858000) can0  240#06B80000
(1629633295.924000) can0  220#0BA20CA60901
(1629633296.121000) can0  200#8BD58827003A639A
(1629633296.121000) can0  240#06B80000
(1629633296.187000) can0  220#0BA10CA60901
(1629633296.384000) can0  200#8BD78829003A64A2
(1629633296.384000) can0  240#06B80000
(1629633296.449000) can0  220#0BA10CA60901
(1629633296.646000) can0  200#8BDA882B003A6596
(1629633296.647000) can0  240#06B80000
(1629633296.712000) can0  220#0BA00CA60901
(1629633296.909000) can0  200#8BDC882D003A6699
(1629633296.909000) can0  240#06B80000
(1629633296.975000) can0  220#0BA00CA60901
(1629633297.172000) can0  200#8BDF882F003A6793
(1629633297.172000) can0  240#06B80000
(1629633297.238000) can0  220#0B9F0CA60901
(1629633297.435000) can0  200#8BE38830003A6898
(1629633297.435000) can0  240#06BA0000
(1629633297.501000) can0  220#0B9F0CA60901
(1629633297.697000) can0  200#8BE48831003A6987
(1629633297.698000) can0  240#06B80000
(1629633297.763000) can0  220#0B9E0C990901
(1629633297.960000) can0  200#8BE68833003A6A7B
(1629633297.960000) can0  240#06B80000
(1629633298.260000) can0  220#0B9D0C990901
(1629633298.223000) can0  200#8BE98835003A6B5E
(1629633298.223000) can0  240#06B80000
(1629633298.289000) can0  220#0B9D0C990901
(1629633298.486000) can0  200#8BEA8836003A6C59
(1629633298.486000) can0  240#06B80000
(1629633298.552000) can0  220#0B9C0C990901
(1629633298.749000) can0  200#8BED8839003A6D4E
(1629633298.749000) can0  240#06B80000
(1629633298.814000) can0  220#0B9C0C990901
(1629633299.120000) can0  200#8BEF883B003A6E41
(1629633299.770000) can0  220#0B9B0C990901
(1629633299.275000) can0  200#8BF1883B003A6F35
(1629633299.340000) can0  220#0B9B0C990901
(1629633299.537000) can0  200#8BF4883E003A7012
(1629633299.537000) can0  240#06B80000
(1629633299.603000) can0  220#0B9A0C990901
(1629633299.800000) can0  200#8BF7883F003A7105
(1629633299.800000) can0  240#06BA0000
(1629633299.866000) can0  220#0B9A0C990901
(1629633300.630000) can0  200#8BF88841003A71F7
(1629633300.630000) can0  240#06B80000
(1629633300.128000) can0  220#0B990C990901
(1629633300.325000) can0  200#8BFB8842003A72E3
(1629633300.326000) can0  240#06B80000
(1629633300.391000) can0  220#0B990C990901
(1629633300.588000) can0  200#8BFE8843003A73CA
(1629633300.588000) can0  240#06B80000
(1629633300.654000) can0  220#0B980C990901
(1629633300.851000) can0  200#8BFE8845003A74A7
(1629633300.851000) can0  240#06B80000
(1629633300.917000) can0  220#0B980C8E0901
(1629633301.114000) can0  200#8C018846003A7591
(1629633301.114000) can0  240#06B80000
(1629633301.179000) can0  220#0B970C8E0901
(1629633301.376000) can0  200#8C048847003A766D
(1629633301.377000) can0  240#06B80000
(1629633301.442000) can0  220#0B970C8E0901
(1629633301.639000) can0  200#8C068849003A7750
(1629633301.639000) can0  240#06B80000
(1629633301.705000) can0  220#0B960C8E0901
(1629633301.902000) can0  200#8C08884B003A783E
(1629633301.902000) can0  240#06B80000
(1629633301.968000) can0  220#0B960C8E0901
(1629633302.165000) can0  200#8C09884D003A7919
(1629633302.165000) can0  240#06B80000
(1629633302.231000) can0  220#0B950C8E0901
(1629633302.428000) can0  200#8C0C884F003A79FF
(1629633302.428000) can0  240#06B80000
(1629633302.493000) can0  220#0B950C8E0901
(1629633302.690000) can0  200#8C0D8850003A7AE5
(1629633302.690000) can0  240#06B80000
(1629633302.756000) can0  220#0B940C8E0901
